part_number,new_part_number
1VLV2216C ,50245885
1VLV2218A ,50202415
1VLV2236B ,50248020
1X71WD ,
20-135 ,
20-135A ,
20-137 ,
20-137A ,3201175
20-140 ,
20-142 ,72002637
20-162 ,
20-170 ,
20-171 ,
20-400 ,50320852
20-401 ,50320860
20-402 ,72002793
20-404 ,
20-405 ,72002819
20-406 ,
20-468A ,72002850
20-469 ,72002868
20-469A ,72002876
20-473 ,50320886
20-475 ,72002900
20-51 ,
20-56 ,3200995
20-59 ,3201076
20-60 ,50320944
20-67 ,50320951
20-706 ,72003015
20-715 ,
20-715A ,
20-719 ,
20-720 ,72003080
20-721 ,
20-724 ,72003106
20-750 ,50321025
20-764 ,
20-A167 ,
20-A619 ,
20-H58X ,
201-11 ,
201-165 ,
201A11N542L ,95481529
201RM14-24 ,3022050
202-223 ,3647252
202-311 ,3648995
202-329 ,3647294
202-A302 ,3647401
202CA3 ,50068691
204-1206 ,3201910
205-1003 ,3201779
205-1014S ,72003189
205-1040 ,3201829
205-1061 ,3201860
205-1098 ,3201878
205-1161 ,
205-1425 ,
205-1429 ,3201928
205-1439 ,
205-21 ,3200813
205-400 ,72003304
205-506 ,3201498
205-58 ,72003320
205-58S ,72003338
205-59 ,3201084
205-67 ,
206-169 ,
206DA30 ,
207-168 ,
207-353 ,
207-356 ,
207-357 ,3199908
207-38 ,3199908
207A11AN08956 ,95282430
207A11AN09832 ,95270831
207A11AN13553 ,
207A11AT09360 ,95208740
207A11AT13066 ,95226072
208HBCR ,50134980
20A11CM003 ,95097606
20A11CM006 ,75210225
20A11CM007 ,95000253
20A11CM008 ,95018008
20A11CM010 ,95018404
20A11CM011 ,95097648
20A11CM013 ,95097655
20A11CM015 ,95210233
20A11CM018 ,95210241
20A11CM030 ,95097754
20A11CM110 ,50140623
20A11CM111 ,50140631
20A11CM112 ,95018669
20A11CM113 ,95018065
20A11CM115 ,95028536
20A11CM116 ,95018081
20A11CM119 ,50140698
20A11CM122 ,95086088
20A11CM125 ,95086112
20A11CM210 ,95086526
20A11CM212 ,95018149
20A11CM214 ,95028528
20A11CM215 ,95086492
20A11CM217 ,95086500
20A11CM220 ,50140888
20A11CM222 ,95042289
20A11CM223 ,95086542
20A11CM224 ,95086559
20A11CM225 ,95086567
20A11CM226 ,95018453
20A11CM227 ,95018701
20A11CM228 ,95018461
20A11CM229 ,95086575
20A11CM230 ,95018198
20A11CM231 ,50141019
20A11CM232 ,
20A11CM233 ,95086591
20A11CM234 ,95018180
20A11CM235 ,95086609
20A11CM239 ,95028452
20A11CM242 ,95086641
20A11CM243 ,50141092
20A11CM245 ,95018727
20A11CM250 ,95018172
20A11CM252 ,95018206
20A11CM253 ,95018735
20A11CM256 ,
20A11CM259 ,95086781
20A11CM260 ,95086898
20A11CM326 ,95087037
20A11CM331 ,95018222
20A11CM333 ,95087060
20A11CM336 ,95018248
20A11CM347 ,95358412
20A11CM351 ,95070603
20A11CM364 ,
20A11CM439 ,95017844
20A11CM445 ,
20A11CM449 ,
20A11CM450 ,50321082
20A11CM453 ,50331628
20A11P9M439 ,50507151
20A11XM214 ,50090406
20A11XM265 ,50141274
20BM-11 ,
20BM-3 ,3021714
20BM-399A ,3022944
20BM-42-5 ,3404373
20BM-53B ,
20BM-6-2S ,3400017
20BM-65 ,3022241
20BM-67B ,3022266
20BM-98 ,3022308
20BMB-17B ,3021961
20BMB-9A ,3021847
20D300 ,50046648
20JR300 ,50312008
20QDM-18 ,50000868
20QDM-330 ,3022829
21-136 ,
21-137 ,3202520
21-140 ,
21-149 ,
21-158 ,
21-159 ,
21-170 ,72003692
21-172 ,
21-176 ,
21-18 ,3202025
21-301 ,
21-323 ,
21-340 ,
21-351 ,
21-354 ,3202892
21-355 ,
21-363 ,72003874
21-397 ,
21-403 ,
21-406 ,
21-416 ,
21-417 ,
21-469 ,72004047
21-470 ,
21-56 ,
21-634 ,
21-635 ,
21-637 ,
21-641 ,
21-702 ,
21-710 ,
21-715 ,
21-719 ,
21-720 ,
21-721 ,
21-726 ,
21-73 ,
21-739 ,
21-8 ,
21-870 ,
21-A152 ,
21-A168 ,
2105CM250 ,50218080
2107-J59 ,
2107-J67 ,49136
210DA30 ,
2115-141 ,3202538
2115-401 ,
2115-G53 ,49138
2115-G58X ,
2131-3A ,
