INGERSOLL RAND DRILL PARTS WITH OLD & NEW PARTS NUMBERS ,,,,,,
Old Part Number,New Part Number,Qty,,Old Part Number,New Part Number,Qty 
BH4446 ,50057702,3,,B1X71WD ,,2
BH4448 ,50057728,1,,B1009D475A ,50398205,12
BH4653 ,50097344,1,,B1027CM2 ,50080233,8
BH4737 ,50057892,1,,B1028CM2 ,50114297,1
BH5230 ,50305895,6,,B1108CM2 ,50115641,1
BH5632 ,50055771,8,,B12‐265 ,,5
BH5637 ,50055805,3,,B13D45 ,50001858,8
BH5657 ,50055813,4,,B13R38 ,,1
BH5828 ,50055839,1,,B13R58 ,50071984,5
BH5829‐6 ,50055847,5,,B140JR38 ,,2
BH6007 ,50055904,12,,B140RP38 ,50002856,9
BH6284 ,50055920,10,,B146URD550 ,50365220,3
BH6412 ,50055938,1,,B15R48 ,50010164,18
BH7232 ,50055946,4,,B15X59 ,50104702,4
BH8424 ,50305945,4,,B15X71 ,50044726,1
BH9283 ,50050756,2,,B150JB5 ,50009018,2
BH9289 ,50050772,2,,B150J50 ,,3
,"LC VOUGHT INGERSOLL RAND DRILL PARTS, PAGE",,,,9,
INGERSOLL RAND DRILL PARTS WITH OLD & NEW PARTS NUMBERS ,,,,,,
Old Part Number,New Part Number,Qty,,Old Part Number,New Part Number,Qty 
B150PB6 ,50246172,1,,B34LPF ,50208529,10
B151S70 ,50173962,96,,B344L54 ,50162692,17
B157PB8 ,,1,,B344L74 ,,4
B176FM4 ,50030535,6,,B379PB8A ,50008226,23
B183DA30 ,50057512,3,,B384J50 ,50004829,1
B19JR300 ,50311943,5,,B394HBD ,50196732,3
B194DA35 ,50165695,5,,B405D45 ,50015734,1
B207L74 ,,16,,B418PB6 ,50302116,8
B210DA30 ,50057603,8,,B428URD475 ,50399310,1
B210DA35 ,50165729,6,,B43JL4 ,50306372,7
B211N75 ,,2,,B432HBJ ,50190594,1
B228JR38 ,,16,,B452URD475 ,50208511,5
B228N70 ,,5,,B454URD475 ,50210525,2
B228R38 ,50047141,41,,B455URD475 ,50210517,6
B228S49 ,50035880,84,,B46JHM ,50034917,3
B229D45 ,50008382,21,,B465URD475 ,50444439,1
B235R38 ,50047224,1,,B47CM ,50125343,8
B235R38A ,50074335,2,,B47FM ,50155803,5
B235R48 ,,1,,B478URD475 ,50208636,1
B243HBD ,50249457,2,,B479HBD ,50036722,1
B245R48 ,50011923,3,,B481HBD ,50036755,4
B25PF2 ,50188184,3,,B49D45 ,50001908,4
B260DHD275 ,50160902,1,,B49JA45 ,,3
B265D45 ,,1,,B49JB4 ,50000793,17
B265URD475 ,50219963,9,,B49JB5 ,50008846,7
B27DB30 ,50051010,6,,B49URD475 ,50295427,3
B27JR300 ,50312750,6,,B495JR38C ,50306406,1
B27JR38 ,,20,,B50DA30 ,50306414,1
B27J50 ,50003771,36,,B50JA45 ,50014570,2
B27R58 ,50072073,2,,B50JR38C ,50172774,3
B274DB35 ,50162940,1,,B50PF1 ,50188051,3
B274URD475 ,50247725,23,,B50R48 ,50010271,1
B28PF2 ,50187004,5,,B50URD475 ,50207497,15
B289S49 ,,6,,B51DB30 ,50051093,2
B289X59 ,,4,,B51URD475 ,50207877,15
B290S49 ,50036003,9,,B53JR38B ,50020726,3
B298DA30 ,50056282,21,,B53PF1 ,,1
B325R300A ,50051887,1,,B53SAR85 ,50108406,1
B325R48 ,50012004,46,,B53S70 ,50173913,38
B329JR38 ,50019199,1,,B557JR38 ,,2
B330RP38 ,50014091,48,,B56DA30 ,50058940,4
,"LC VOUGHT INGERSOLL RAND DRILL PARTS, PAGE",,,,10,
INGERSOLL RAND DRILL PARTS WITH OLD & NEW PARTS NUMBERS ,,,,,,
Old Part Number,New Part Number,Qty,,Old Part Number,New Part Number,Qty 
B56N70 ,,1,,B7DHD400 ,50152826,2
B56S70 ,,2,,B7L29 ,50169382,2
B56X71 ,,1,,B70CC1 ,,3
B58DB30 ,,1,,B852R38A ,50073253,16
B58JA45 ,50014653,4,,B86RP38 ,50002823,2
B58J50 ,50003854,33,,B87JR38 ,50017706,13
B58RB12 ,50023134,3,,B87RP38 ,,2
B58R38 ,50045533,4,,B871JR300 ,50314053,3
B58R48 ,50010685,6,,B871JR38 ,,1
B58R58 ,50070507,31,,B872JR300 ,50314061,6
B58S68 ,50176577,5,,B90CM ,50125517,13
B59L74 ,,1,,B90FM2 ,50154145,7
B59X71 ,,1,,B901RP38 ,50015387,6
B60DA35 ,,8,,B912RP38 ,50016088,26
B60‐22A‐20 ,,7,,B914R48 ,50013374,8
B60‐22A‐24 ,,4,,B915JR35B ,50174143,14
B60‐22A‐26 ,,4,,B942CM2 ,50117977,2
B60‐22A‐28 ,,9,,B954CM ,50224898,4
B60‐22A‐30 ,,4,,B954CM150A ,50201821,5
B60‐22A‐32 ,,1,,B96D45 ,,2
B64DA30 ,50059047,12,,B965D45 ,50012657,2
B64J50 ,50003920,2,,C‐134 ,3031341,1
B64R48 ,50224641,3,,C‐15 ,301168,26
B64X72 ,,1,,C‐196 ,3031374,2
B65D45 ,50005552,20,,C‐2 ,3030624,2
B65L74 ,,3,,C‐32 ,3031275,2
B65PB8A ,50016260,13,,C‐50 ,3031283,2
B65PB8A.010 ,,1,,CCFM‐512 ,3109196,2
B65X71 ,50047968,4,,CCFM‐541 ,3109253,1
B66JR38 ,50017136,2,,CCFM‐555 ,3109295,1
B66R58 ,50070598,7,,CE110‐295 ,3446952,2
B66URD475 ,50210558,1,,CE110‐463 ,3448024,2
B67PB6 ,50201094,10,,CE120‐BB377X ,3503257,8
B68JB5 ,,1,,CE120‐S304 ,3446630,4
B68J50 ,,1,,CE210‐603 ,3552890,12
B68L54 ,50162593,1,,CL‐5140 ,59518720,2
