,INGERSOLL RAND COMPRESSOR PARTS ,,,,,,
Part Number,Qty,,Part Number,Qty,,Part Number,Qty 
1W34929 ,6,,1W87459 ,4,,104C33 ,29
1W35009 ,1,,1W89581P1 ,1,,104C6B ,1
1W35304 ,3,,1W89610T24 ,1,,109A2A139 ,6
1W35546 ,1,,1W89620 ,27,,11A13S38R ,6
1W36154 ,1,,1W89628 ,7,,11A3C466 ,8
1W36340 ,4,,1W89633 ,12,,11A9C40 ,1
1W36649 ,3,,1W90092 ,5,,11A9C437 ,2
1W37087 ,5,,1W9011 ,5,,11A9C736 ,4
1W37707 ,11,,1W9030 ,1,,11A9C738 ,2
1W3798 ,1,,1W9031 ,3,,11A9C83 ,1
1W43027 ,16,,1W9033 ,2,,11ES1063 ,11
1W43077 ,6,,1W9047 ,5,,11ES1064 ,1
1W43183 ,12,,1W9058P1 ,8,,110196,2
1W44486 ,6,,1W9063 ,2,,1.11E+10 ,1
1W45460 ,2,,1W9073 ,2,,114732,4
1W45461 ,2,,1W9090P1 ,6,,114734,6
1W46394 ,7,,1W9092 ,18,,11587BA ,2
1W47699 ,4,,1W90976 ,12,,116K22 ,1
1W47719 ,1,,1W92018 ,12,,116K3A ,16
1W49160 ,1,,1W9205 ,1,,116K3B ,21
1W58341 ,2,,1W9206A ,21,,116K3C ,16
1W58342 ,3,,1W92075 ,3,,116K5P ,1
1W58348 ,3,,1W92086 ,3,,116089,2
1W59182P1 ,2,,1W93088 ,99,,117352T2138 ,2
1W6071 ,2,,1W93088T12 ,7,,1174C146 ,5
1W6514P1 ,1,,1W9392 ,2,,117634,2
1W6722P1 ,2,,1W94303 ,5,,117635,2
1W68436 ,22,,1W94316 ,3,,1179423,2
1W68563 ,5,,1W95764 ,16,,1179425,2
1W71013 ,3,,1W95765 ,5,,118317,4
1W71948 ,44,,1W95766 ,10,,1.19E+09 ,8
1W73193 ,3,,1W95767 ,15,,1.19E+08 ,2
1W75132 ,4,,1W95768 ,9,,118753T1021 ,1
